,Ngày,Thay đổi,KL giao dịch ròng,GT giao dịch ròng,KL mua,GT mua,KL bán,GT bán,Room còn lại,Đang sở hữu
2,2025-04-29,109.4(-0.09 %),-675356,-73.97,383244,42.01,1058600,115.97,0,0%
3,2025-04-28,109.5(-2.58 %),-927987,-102.22,314618,34.79,1242605,137.01,0,0%
4,2025-04-25,112.4(0.36 %),-1234438,-137.06,1558315,172.67,2792753,309.73,0,0%
5,2025-04-24,112(1.45 %),-173743,-19.85,2931248,327.69,3104991,347.54,0,0%
6,2025-04-23,110.4(0.00 %),-1350098,-148.33,1345960,148.41,2696058,296.73,0,0%
7,2025-04-22,110.4(-1.16 %),-1185615,-127.07,1433219,153.72,2618834,280.79,0,0%
8,2025-04-21,111.7(0.09 %),1294927,144.19,1752547,195,457620,50.81,0,0%
9,2025-04-18,111.6(2.01 %),2182695,246.2,3402795,383.27,1220100,137.07,0,0%
10,2025-04-17,109.4(1.39 %),1053726,112.7,2768276,296.38,1714550,183.68,0,0%
11,2025-04-16,107.9(-6.98 %),-4523819,-497.53,1264908,140.17,5788727,637.69,0,0%
12,2025-04-15,116(-2.11 %),-842577,-97.14,1600503,184.79,2443080,281.93,0,0%
13,2025-04-14,118.5(0.00 %),-1845933,-214.71,2599467,304.51,4445400,519.22,0,0%
14,2025-04-11,118.5(5.24 %),998108,116.78,6423409,745.54,5425301,628.76,0,0%
15,2025-04-10,112.6(6.93 %),-497137,-55.98,871135,98.09,1368272,154.07,0,0%
16,2025-04-09,105.3(0.19 %),2320180,247.56,6366572,661.82,4046392,414.26,0,0%
17,2025-04-08,105.1(-6.99 %),-3103587,-326.94,3145055,331.64,6248642,658.58,0,0%
18,2025-04-04,113(-0.44 %),-5714184,-612.85,4598276,497.86,10312460,1110.7,104701670,0%
19,2025-04-03,113.5(-6.97 %),-2949400,-337.27,1615800,186.37,4565200,523.64,98987486,42.27%
20,2025-04-02,122(1.24 %),-295000,-35.91,807000,98.18,1102000,134.1,97775659,42.35%
21,2025-04-01,120.5(-0.41 %),-524400,-63.73,2288900,274.4,2813300,338.13,96175423,42.46%
24,2025-03-31,121(-2.42 %),-891700,-108.35,1546000,189.48,2437700,297.84,97327100,42.38%
25,2025-03-28,124(-1.74 %),-656100,-81.93,425400,53.03,1081500,134.96,96986286,42.41%
26,2025-03-27,126.2(2.60 %),277800,35.19,2199100,272.6,1921300,237.41,94066420,42.61%
27,2025-03-26,123(-2.77 %),-2450700,-304.89,888200,110.07,3338900,414.96,94535365,42.57%
28,2025-03-25,126.5(-1.94 %),-1199700,-152.81,570700,72.78,1770400,225.59,94019652,42.61%
29,2025-03-24,129(0.78 %),-67900,-8.73,1327800,170.24,1395700,178.97,93590157,42.64%
30,2025-03-21,128(2.40 %),222800,28.9,1238700,158.28,1015900,129.39,90406186,42.85%
31,2025-03-20,125(0.32 %),-2215900,-277.71,2283600,285.66,4499500,563.37,81115870,43.49%
32,2025-03-19,124.6(-4.15 %),-8414700,-1061.7,2056200,260.01,10470900,1321.71,80029714,43.56%
33,2025-03-18,130(0.00 %),-2530600,-330.51,831800,108.7,3362400,439.21,79451197,43.6%
34,2025-03-17,130(-1.07 %),-2146900,-279.91,474300,61.88,2621200,341.78,74930719,43.91%
35,2025-03-14,131.4(-3.74 %),-4805500,-639.19,497800,66.02,5303300,705.21,74623325,43.93%
36,2025-03-13,136.5(0.44 %),-25293,-3.43,869637,119.13,894930,122.56,72410558,44.08%
37,2025-03-12,135.9(-1.16 %),-2161100,-295.08,545200,74.59,2706300,369.67,71217375,44.16%
38,2025-03-11,137.5(-1.29 %),-562900,-77.46,1411500,194.55,1974400,272.01,68993757,44.31%
39,2025-03-10,139.3(-1.49 %),-1132400,-158.64,1525700,213.77,2658100,372.41,68993757,44.31%
40,2025-03-07,141.4(-0.14 %),-734000,-103.93,788700,111.75,1522700,215.68,68115393,44.37%
41,2025-03-06,141.6(1.80 %),-341000,-48.73,2079100,293.5,2420100,342.23,68143836,44.37%
42,2025-03-05,139.1(-0.64 %),-166200,-23.12,610100,85.2,776300,108.32,68996509,44.31%
43,2025-03-04,140(-0.36 %),96000,13.54,1336300,186.99,1240300,173.45,68128490,44.37%
46,2025-03-03,140.5(0.14 %),-518400,-72.91,959800,135.06,1478200,207.97,67537295,44.41%
47,2025-02-28,140.3(-0.71 %),-394300,-55.04,1664900,232.57,2059200,287.61,67056896,44.44%
48,2025-02-27,141.3(-0.35 %),79700,11.2,1519100,214.41,1439400,203.22,67915166,44.38%
49,2025-02-26,141.8(2.01 %),-89200,-12.03,917400,128.89,1006600,140.92,66281526,44.49%
50,2025-02-25,139(-1.07 %),-1373400,-190.65,1784200,247.87,3157600,438.53,64158593,44.64%
51,2025-02-24,140.5(-1.06 %),-1782000,-249.66,1290200,181.33,3072200,430.99,63639991,44.67%
52,2025-02-21,142(-0.70 %),-1042000,-147.93,1271600,180.49,2313600,328.42,63651925,44.67%
53,2025-02-20,143(-0.69 %),-1040600,-149.21,269700,38.64,1310300,187.86,64185914,44.64%
54,2025-02-19,144(0.07 %),347800,50.15,1097400,157.73,749600,107.57,64027144,44.65%
55,2025-02-18,143.9(0.21 %),301900,43.44,762200,109.62,460300,66.18,64088398,44.64%
56,2025-02-17,143.6(-0.90 %),-489000,-70.31,590400,84.92,1079400,155.23,64290417,44.63%
57,2025-02-14,144.9(1.26 %),836700,120.97,1378900,199.37,542200,78.4,64230758,44.63%
58,2025-02-13,143.1(-1.31 %),-208800,-30.03,503200,72.25,712000,102.28,64991935,44.58%
59,2025-02-12,145(-0.28 %),68100,9.86,685900,99.43,617800,89.57,63395949,44.69%
60,2025-02-11,145.4(2.39 %),-257700,-35.49,1858000,265.03,2115700,300.52,61984919,44.79%
61,2025-02-10,142(-2.81 %),-69200,-9.41,2057600,295.17,2126800,304.58,61941380,44.79%
62,2025-02-07,146.1(-0.27 %),371500,54.25,2302900,336.28,1931400,282.04,62974723,44.72%
63,2025-02-06,146.5(0.14 %),-152000,-22.24,872600,127.57,1024600,149.8,62418144,44.76%
64,2025-02-05,146.3(0.07 %),-51200,-7.54,2808200,411.56,2859400,419.1,61086795,44.85%
65,2025-02-04,146.2(0.48 %),-1086500,-158.59,1192100,174.14,2278600,332.74,58370948,45.03%
68,2025-02-03,0(0.00 %),-3456200,-508.45,2068100,305.04,5524300,813.49,57753449,45.07%
69,2025-01-24,153.4(-0.58 %),-1153800,-177.49,655700,100.74,1809500,278.24,58778445,45%
70,2025-01-23,154.3(3.07 %),-167400,-26.01,875700,134.91,1043100,160.93,58211990,45.04%
71,2025-01-22,149.7(-0.13 %),-287700,-43.14,934700,139.94,1222400,183.08,58372705,45.03%
72,2025-01-21,149.9(-0.07 %),-124900,-18.46,590200,88.67,715100,107.13,58933296,44.99%
73,2025-01-20,150(0.67 %),502700,75.31,876900,131.26,374200,55.94,58063826,45.05%
74,2025-01-17,149(1.71 %),-850700,-125.77,509000,75.27,1359700,201.04,57267504,45.11%
75,2025-01-16,146.5(0.69 %),-1280800,-187.26,428500,62.69,1709300,249.95,56230809,0%
76,2025-01-15,145.5(0.28 %),-988700,-143.72,659300,95.72,1648000,239.43,54950009,45.26%
77,2025-01-14,145.1(-1.69 %),-1295900,-189.08,311200,45.38,1607100,234.46,54432120,45.3%
78,2025-01-13,147.6(0.20 %),-939500,-137.99,254600,37.43,1194100,175.42,53984687,45.33%
79,2025-01-10,147.3(-1.01 %),215500,31.73,1008200,149.38,792700,117.65,53828606,45.34%
80,2025-01-09,148.8(0.34 %),97800,14.54,508500,75.54,410700,60.99,52434585,45.44%
81,2025-01-08,148.3(-1.20 %),-1550700,-230.5,822800,122.33,2373500,352.82,51935006,45.47%
82,2025-01-07,150.1(0.54 %),656500,98.83,1664600,250.63,1008100,151.8,50581138,45.56%
83,2025-01-06,149.3(0.20 %),-156200,-23.32,1241900,185.48,1398100,208.8,50581138,45.56%
84,2025-01-03,149(-1.97 %),-1538200,-231.25,939000,141.02,2477200,372.27,49985687,45.6%
85,2025-01-02,152(-0.33 %),-1473200,-222.02,349600,52.89,1822800,274.91,50522567,45.57%
86,2024-12-31,152.5(1.33 %),-190300,-28.97,211700,32.25,402000,61.22,50406417,45.57%
87,2024-12-30,150.5(0.60 %),-15200,-2.2,450500,67.51,465700,69.72,50319543,45.58%
90,2024-12-27,149.6(-0.13 %),488800,72.93,787500,117.5,298700,44.57,49657280,45.62%
91,2024-12-26,149.8(-0.66 %),-451600,-67.69,678100,101.72,1129700,169.41,49825583,45.61%
92,2024-12-25,150.8(0.27 %),-84500,-12.76,568800,85.72,653300,98.48,49416129,45.64%
93,2024-12-24,150.4(0.40 %),0,0,0,0,0,0,48421216,45.71%
94,2024-12-20,149.5(0.95 %),581900,87.01,2507700,375.46,1925800,288.45,47396219,45.78%
95,2024-12-19,148.1(-0.40 %),738900,109.41,1922400,284.56,1183500,175.15,49099341,45.66%
96,2024-12-18,148.7(0.47 %),643600,95.93,1441300,214.91,797700,118.97,46998953,45.81%
97,2024-12-17,148(-1.27 %),-2093700,-311.18,1902000,283.68,3995700,594.85,47054120,45.8%
98,2024-12-16,149.9(0.27 %),-28200,-4.19,1357900,203.72,1386100,207.91,47004335,45.8%
99,2024-12-10,149.5(1.70 %),834000,123.75,1267100,187.89,433100,64.14,46455326,45.84%
100,2024-12-09,147(-1.67 %),-1808300,-265.93,616700,90.66,2425000,356.59,45404697,45.91%
101,2024-12-05,148.5(3.48 %),510300,74.37,1495000,218.13,984700,143.76,44952775,45.94%
102,2024-12-04,143.5(-1.03 %),-925800,-134.2,733800,106.44,1659600,240.64,44708025,45.96%
103,2024-12-03,145(1.97 %),-387300,-55.63,1328200,191.11,1715500,246.74,42551335,46.11%
104,2024-12-02,142.2(-0.77 %),-1143600,-163.73,1698900,243.96,2842500,407.69,42261335,46.13%
105,2024-11-29,0(0.00 %),1668400,237.04,3286500,467.11,1618100,230.07,43334243,46.05%
106,2024-11-28,0(0.00 %),1639800,228.31,2265900,315.54,626100,87.23,45787877,45.89%
107,2024-11-27,0(0.00 %),4260400,589.44,5092800,704.57,832400,115.13,47509483,45.77%
108,2024-11-26,0(0.00 %),1019700,137.63,1580900,213.14,561200,75.51,52377059,45.44%
109,2024-11-25,0(0.00 %),520000,69.58,779500,104.25,259500,34.67,53841432,45.34%
112,2024-11-22,133.9(0.68 %),449600,60.12,695200,92.94,245600,32.82,48722072,0%
113,2024-11-21,133(0.45 %),-482800,-63.26,643000,85.04,1125800,148.3,49171672,0%
114,2024-11-20,132.4(1.85 %),-2002300,-250.73,1982200,260.11,3984500,510.84,48688872,0%
115,2024-11-19,130(-2.99 %),-1682700,-221.12,1550800,202.9,3233500,424.03,46686572,0%
116,2024-11-18,134(0.07 %),-211700,-28.16,1032500,137.84,1244200,166,45003872,0%
117,2024-11-15,133.9(-1.54 %),-2526200,-338.25,522800,69.86,3049000,408.11,44792172,0%
118,2024-11-14,136(-1.31 %),-1451100,-199.87,332800,45.9,1783900,245.77,42265972,0%
119,2024-11-13,137.8(0.73 %),-207200,-28.3,803600,110.3,1010800,138.6,40814872,0%
120,2024-11-12,136.8(-1.08 %),-337000,-45.99,426400,58.39,763400,104.38,47595411,45.76%
121,2024-11-11,138.3(1.84 %),35200,4.92,343700,47.3,308500,42.38,40270672,0%
122,2024-11-08,135.8(0.52 %),144200,19.57,284200,38.59,140000,19.01,40305872,0%
123,2024-11-07,135.1(0.37 %),181800,24.59,458500,62.1,276700,37.52,40450072,0%
124,2024-11-06,134.6(1.51 %),-68100,-9.12,282100,37.79,350200,46.92,40631872,0%
125,2024-11-05,132.6(-0.15 %),-426600,-56.63,174300,23.15,600900,79.78,40563772,0%
126,2024-11-04,132.8(-1.34 %),-758800,-101.07,685000,91.26,1443800,192.33,40137172,0%
127,2024-11-01,134.6(-0.96 %),-379200,-50.86,594000,79.87,973200,130.73,39378372,0%
128,2024-10-31,135.9(0.00 %),-37600,-5.09,435100,59.01,472700,64.1,39443607,0%
129,2024-10-30,135.9(0.37 %),803400,108.87,1029100,139.44,225700,30.58,39406007,0%
130,2024-10-29,135.4(0.37 %),-100200,-13.51,887800,119.86,988000,133.37,40209407,0%
131,2024-10-28,134.9(0.67 %),370000,49.79,404300,54.39,34300,4.6,40109207,0%
134,2024-10-25,134(-0.22 %),34900,4.67,517000,69.22,482100,64.55,40479207,0%
135,2024-10-24,134.3(0.07 %),523500,70.16,1087600,145.79,564100,75.63,40514107,0%
136,2024-10-23,134.2(0.83 %),280100,37.58,679700,91.01,399600,53.43,41037607,0%
137,2024-10-22,133.1(-1.77 %),-74000,-9.79,856700,115.35,930700,125.14,41317707,0%
138,2024-10-21,135.5(-1.09 %),-465400,-63.26,673600,92.31,1139000,155.57,41243707,0%
139,2024-10-18,137(0.00 %),159900,21.93,769000,105.43,609100,83.51,40778307,0%
140,2024-10-17,137(0.51 %),-146100,-20.07,675200,91.96,821300,112.04,40938207,0%
141,2024-10-16,136.3(-0.51 %),-512300,-69.96,102700,14.01,615000,83.97,40792107,0%
142,2024-10-15,137(-0.44 %),-858500,-118,220500,30.27,1079000,148.27,40279807,0%
143,2024-10-14,137.6(-1.43 %),-1263500,-175.77,947900,131.45,2211400,307.23,39421307,0%
144,2024-10-11,139.6(-1.48 %),-675300,-94.73,708800,99.7,1384100,194.43,38157807,0%
145,2024-10-10,141.7(4.65 %),2308600,322.26,2857700,399.43,549100,77.17,37482507,0%
146,2024-10-09,135.4(1.20 %),534500,72.3,842100,113.87,307600,41.58,39791107,0%
147,2024-10-08,133.8(-0.22 %),-400900,-53.77,339700,45.54,740600,99.31,40325607,0%
148,2024-10-07,134.1(0.00 %),-182700,-24.47,143800,19.29,326500,43.76,39924707,0%
149,2024-10-04,134.1(0.07 %),-37600,-5.01,190500,25.53,228100,30.54,39742007,0%
150,2024-10-03,134(-1.03 %),-416200,-56.3,162000,21.95,578200,78.25,39704407,0%
151,2024-10-02,135.4(-0.37 %),883000,119.59,1013300,137.23,130300,17.64,39288207,0%
152,2024-10-01,135.9(1.04 %),2420100,328.96,2675300,363.61,255200,34.65,40171207,0%
153,2024-09-30,134.5(0.22 %),332900,44.81,1788600,239.01,1455700,194.2,41726727,0%
156,2024-09-27,134.2(-0.07 %),768500,102.93,1880600,251.81,1112100,148.88,42059627,0%
157,2024-09-26,134.3(-0.37 %),4100,0.58,900400,120.92,896300,120.34,42828127,0%
158,2024-09-25,134.8(0.22 %),332300,44.74,2156800,289.63,1824500,244.89,42832227,0%
159,2024-09-24,134.5(0.37 %),128900,17.33,657100,88.1,528200,70.77,43164527,0%
160,2024-09-23,134(-0.96 %),49500,6.8,715600,96.27,666100,89.47,43293427,0%
161,2024-09-20,135.3(0.07 %),-135200,-18.38,1183100,160.99,1318300,179.38,43342927,0%
162,2024-09-19,135.2(0.45 %),262100,35.44,1895800,255.78,1633700,220.34,43207727,0%
163,2024-09-18,134.6(1.28 %),848600,113.79,2093100,280.9,1244500,167.11,43469827,0%
164,2024-09-17,132.9(1.37 %),1445900,191.16,1855300,245.34,409400,54.18,44318427,0%
165,2024-09-16,131.1(-1.43 %),323900,42.58,531200,69.89,207300,27.31,45764327,0%
166,2024-09-13,133(0.53 %),1527600,203.2,1695000,225.44,167400,22.24,46088227,0%
167,2024-09-12,132.3(1.30 %),883400,116.7,2194400,289.43,1311000,172.73,47615827,0%
168,2024-09-11,130.6(0.46 %),1070700,139.85,1949700,254.32,879000,114.48,48499227,0%
169,2024-09-10,130(-0.99 %),-802500,-104.7,1235300,161,2037800,265.69,49569927,0%
170,2024-09-09,131.3(-0.61 %),-833600,-108.79,606000,79.33,1439600,188.12,48767427,0%
171,2024-09-06,132.1(1.15 %),1543700,203.59,2215700,292.08,672000,88.49,47933827,0%
172,2024-09-05,130.6(-1.80 %),-2080900,-272.21,1836700,239.26,3917600,511.46,49477527,0%
173,2024-09-04,133(-1.34 %),-608000,-80.07,1154600,153.1,1762600,233.16,47396627,0%
174,2024-08-30,134.8(0.82 %),1398100,188.06,1422600,191.35,24500,3.29,45029464,0%
175,2024-08-29,133.7(0.30 %),843900,112.45,1082100,144.15,238200,31.7,46427564,0%
178,2024-08-28,133.3(0.60 %),1040400,139.01,1267500,169.38,227100,30.37,47271464,0%
179,2024-08-27,132.5(0.76 %),923100,121.68,1015600,133.87,92500,12.19,48311864,0%
180,2024-08-26,131.5(-1.20 %),417900,55.16,534200,70.57,116300,15.41,49234964,0%
181,2024-08-23,133.1(-0.52 %),919600,122.32,1496100,198.99,576500,76.67,49652864,0%
182,2024-08-22,133.8(0.22 %),1032900,138.34,1354500,181.44,321600,43.1,50572464,0%
183,2024-08-21,133.5(1.52 %),2071000,273.85,2677900,353.95,606900,80.11,51605364,0%
184,2024-08-20,131.5(0.77 %),974900,128.14,1186400,156,211500,27.85,53676364,0%
185,2024-08-19,130.5(-0.08 %),-237900,-31.02,267800,34.94,505700,65.96,54651264,0%
186,2024-08-16,130.6(1.48 %),200600,26.3,847300,110.39,646700,84.09,54413364,0%
187,2024-08-15,128.7(-0.62 %),615600,79.2,817300,105.19,201700,25.99,54613964,0%
188,2024-08-14,129.5(-0.15 %),372800,48.41,952100,123.68,579300,75.27,55229564,0%
189,2024-08-13,129.7(-0.23 %),624300,80.91,1515700,195.96,891400,115.05,55602364,0%
190,2024-08-12,130(2.44 %),1167600,150.24,2168400,279.33,1000800,129.09,56226664,0%
191,2024-08-09,126.9(4.53 %),1276000,159.5,2076800,258.8,800800,99.3,57394264,0%
192,2024-08-08,121.4(-0.49 %),22200,2.56,919200,111.77,897000,109.21,58670264,0%
193,2024-08-07,122(0.99 %),302700,36.96,1007600,122.05,704900,85.09,58692464,0%
194,2024-08-06,120.8(1.85 %),-916700,-110.47,1439000,173.73,2355700,284.2,58995164,0%
195,2024-08-05,118.6(-3.73 %),-737800,-88.91,2134200,257,2872000,345.91,58078464,0%
196,2024-08-02,123.2(-1.28 %),254700,31.71,1436700,176.67,1182000,144.96,57340664,0%
197,2024-08-01,124.8(-2.95 %),-1283700,-163.17,759000,96,2042700,259.17,57595364,0%
200,2024-07-31,128.6(0.47 %),670700,86.02,1427700,182.7,757000,96.68,54241563,0%
201,2024-07-30,128(-0.78 %),403200,52.38,2038800,264.71,1635600,212.33,54912263,0%
202,2024-07-29,129(0.78 %),403200,52.38,2038800,264.71,1635600,212.33,55315463,0%
203,2024-07-26,128(2.40 %),358600,45.57,1264600,159.14,906000,113.56,55718663,0%
204,2024-07-25,125(-0.79 %),197200,24.7,798400,99.65,601200,74.95,56077263,0%
205,2024-07-24,126(0.40 %),-616900,-77.38,851500,106.82,1468400,184.2,56274463,0%
206,2024-07-23,125.5(1.13 %),11400,1.36,1080800,137.04,1069400,135.68,55657563,0%
207,2024-07-22,124.1(-1.51 %),497200,61.31,1989600,247,1492400,185.69,55668963,0%
208,2024-07-19,126(-1.49 %),-1792800,-228.15,428100,54.17,2220900,282.32,56166163,0%
209,2024-07-18,127.9(-3.03 %),-2731000,-352,1061600,136.94,3792600,488.94,54373363,0%
210,2024-07-17,131.9(-1.57 %),1232100,161.53,2234900,294.59,1002800,133.06,51642363,0%
211,2024-07-16,134(0.98 %),460000,61.26,1625500,216.56,1165500,155.29,52874463,0%
212,2024-07-15,132.7(-0.82 %),-133900,-18.14,868300,115.5,1002200,133.64,53334463,0%
213,2024-07-12,133.8(0.60 %),-360600,-48.43,559400,74.77,920000,123.2,53200563,0%
214,2024-07-11,133(-0.75 %),-2976100,-397.36,1003900,134.24,3980000,531.6,52839963,0%
215,2024-07-10,134(-2.55 %),-2525300,-342.81,386200,52.4,2911500,395.22,49863863,0%
216,2024-07-09,137.5(-1.50 %),-4958300,-680,1060600,145.46,6018900,825.46,47338563,0%
217,2024-07-08,139.6(0.65 %),-1895600,-263.17,692300,96.23,2587900,359.4,42380263,0%
218,2024-07-05,138.7(2.14 %),-1956000,-270.99,821000,113.4,2777000,384.39,40484663,0%
219,2024-07-04,135.8(3.66 %),161400,22.33,1283400,172.28,1122000,149.95,38528663,0%
222,2024-06-28,130.5(-1.73 %),-1935125,-255.85,826180,108.31,2761305,364.16,35594870,46.2%
223,2024-06-27,132.8(0.76 %),-766659,-101.06,780841,103.55,1547500,204.61,33491050,46.36%
224,2024-06-26,131.8(1.38 %),-1921161,-249.57,1098839,144.05,3020000,393.62,30620913,46.59%
225,2024-06-25,130(-1.59 %),-2040860,-264.91,1953461,253.33,3994321,518.24,25821114,46.97%
226,2024-06-24,132.1(-2.94 %),-4412286,-590.39,1487752,198.34,5900038,788.73,24711232,47.05%
227,2024-06-21,136.1(2.10 %),-1676447,-227.02,1019553,137.33,2696000,364.35,23643170,47.14%
228,2024-06-20,133.3(1.37 %),-1975016,-265.36,580798,77.69,2555814,343.05,22353923,47.24%
229,2024-06-19,131.5(2.73 %),-1715424,-221.89,513376,66.72,2228800,288.61,20070002,47.42%
230,2024-06-18,128(-0.62 %),-2338276,-301.81,598243,76.82,2936519,378.63,19504678,47.46%
231,2024-06-17,128.8(-1.68 %),-856408,-110.98,293292,37.99,1149700,148.96,17816821,47.6%
232,2024-06-14,131(0.77 %),-1141201,-148.5,1069099,139,2210300,287.5,12259278,48.03%
233,2024-06-13,130(-1.52 %),0,0,0,0,0,0,9000226,48.29%
234,2024-06-12,132(4.33 %),-3780711,-495.3,547440,71.44,4328151,566.74,7300722,48.43%
235,2024-06-11,146.5(1.74 %),-1800964,-260,244830,35.41,2045794,295.41,2888237,48.77%
236,2024-06-10,144(1.41 %),-1154019,-165.61,126397,18.16,1280416,183.77,5096992,55.89%
237,2024-06-07,142(1.72 %),-176636,-24.95,1101764,155.75,1278400,180.69,3942973,48.69%
238,2024-06-06,139.6(-0.36 %),-1594106,-224.12,334694,46.97,1928800,271.09,2888237,48.77%
239,2024-06-05,140.1(0.72 %),-438200,-61.02,1534600,217.75,1972800,278.77,1397551,56.22%
240,2024-06-04,139.1(1.61 %),708900,98.52,1943500,270.08,1234600,171.57,959351,56.26%
241,2024-06-03,136.9(1.71 %),-744200,-101.79,1244000,169.89,1988200,271.68,1668251,56.2%
244,2024-05-31,134.6(-0.30 %),355200,47.67,533900,71.76,178700,24.09,1668251,48.87%
245,2024-05-30,135(-0.52 %),-1527200,-202.74,1348900,179.66,2876100,382.4,534061,48.96%
246,2024-05-29,135.7(-0.95 %),748900,101.48,2417100,328.27,1668200,226.79,1349609,48.89%
247,2024-05-28,137(3.16 %),588000,78.89,1121900,150.6,533900,71.71,3271747,48.74%
248,2024-05-27,132.8(0.68 %),220100,29.81,1006600,133.88,786500,104.07,1372915,48.89%
249,2024-05-24,131.9(-4.07 %),-2664600,-355.39,607000,83.18,3271600,438.58,5876854,55.82%
250,2024-05-23,137.5(-0.36 %),-1372900,-187.15,0,0,1372900,187.15,607768,48.95%
251,2024-05-22,138(1.47 %),-550800,-75.93,455800,62.85,1006600,138.77,0,49%
252,2024-05-21,136(2.26 %),-330000,-44.4,277700,37.21,607700,81.61,455900,48.96%
253,2024-05-20,133(-1.12 %),-27100,-3.66,800,0.11,27900,3.77,277700,48.98%
254,2024-05-17,134.5(-0.66 %),-491800,-66.02,100,0.01,491900,66.03,800,49%
255,2024-05-16,135.4(0.97 %),-272300,-37.11,5400,0.73,277700,37.84,711954,56.28%
256,2024-05-15,134.1(2.76 %),-600,-0.08,200,0.03,800,0.11,439654,56.31%
257,2024-05-14,130.5(0.62 %),3800,0.49,3900,0.51,100,0.01,439054,56.31%
258,2024-05-13,129.7(-0.99 %),-39400,-5.12,0,0,39400,5.12,3969,49%
259,2024-05-10,131(0.54 %),-380200,-49.77,0,0,380200,49.77,0,49%
260,2024-05-09,130.3(-0.53 %),-3900,-0.51,0,0,3900,0.51,0,49%
261,2024-05-08,131(-0.23 %),100,0.01,100,0.01,0,0,0,49%
262,2024-05-07,131.3(2.90 %),15200,1.94,19400,2.48,4200,0.55,100,49%
263,2024-05-06,127.6(1.35 %),13000,1.64,13000,1.64,0,0,19454,49%
266,2024-05-03,125.9(-1.10 %),3100,0.4,3200,0.41,100,0.01,13000,49%
267,2024-05-02,127.3(3.33 %),-14200,-1.78,5100,0.63,19300,2.41,3200,49%
268,2024-04-26,123.2(0.00 %),-13000,-1.6,0,0,13000,1.6,5150,49%
269,2024-04-25,123.2(2.58 %),-3200,-0.4,0,0,3200,0.4,58948,56.34%
270,2024-04-24,120.1(6.95 %),-3300,-0.41,1800,0.2,5100,0.61,55748,56.34%
271,2024-04-23,112.3(1.81 %),0,0,0,0,0,0,1800,49%
272,2024-04-22,110.3(1.19 %),-21900,-2.42,0,0,21900,2.42,0,49%
273,2024-04-19,109(-2.50 %),-6600,-0.73,0,0,6600,0.73,30548,56.35%
274,2024-04-17,111.8(-1.06 %),-10900,-1.23,0,0,10900,1.23,23948,56.35%
275,2024-04-16,113(1.25 %),-7700,-0.87,0,0,7700,0.87,20748,56.35%
276,2024-04-15,111.6(-3.38 %),100,0.01,100,0.01,0,0,13048,56.35%
277,2024-04-12,115.5(0.52 %),13100,1.52,13100,1.52,0,0,100,49%
278,2024-04-11,114.9(0.97 %),0,0,0,0,0,0,13148,49%
279,2024-04-10,113.8(0.71 %),700,0.08,800,0.09,100,0.01,-685,56.35%
280,2024-04-09,113(0.36 %),-13100,-1.48,0,0,13100,1.48,15,56.35%
281,2024-04-08,112.6(-0.97 %),0,0,0,0,0,0,0,56.35%
282,2024-04-05,113.7(-0.26 %),-800,-0.09,0,0,800,0.09,0,49%
283,2024-04-04,114(-0.96 %),8400,0.97,8400,0.97,0,0,-1700,56.35%
284,2024-04-03,115.1(-1.62 %),-4800,-0.56,0,0,4800,0.56,8440,49%
285,2024-04-02,117(0.17 %),-200,-0.02,0,0,200,0.02,1900,56.35%
288,2024-04-01,116.8(0.26 %),-6700,-0.77,1700,0.2,8400,0.97,0,49%
289,2024-03-29,116.5(-0.51 %),-200,-0.02,0,0,200,0.02,1700,49%
290,2024-03-28,117.1(1.65 %),0,0,0,0,0,0,0,49%
291,2024-03-27,115.2(0.17 %),-1700,-0.19,0,0,1700,0.19,0,49%
292,2024-03-26,115(0.88 %),-6200,-0.71,0,0,6200,0.71,13900,56.35%
293,2024-03-25,114(-0.78 %),-2100,-0.24,0,0,2100,0.24,0,49%
294,2024-03-22,114.9(-1.12 %),0,0,0,0,0,0,5600,56.35%
295,2024-03-21,116.2(1.48 %),-200,-0.02,0,0,200,0.02,5600,56.35%
296,2024-03-20,114.5(2.23 %),0,0,0,0,0,0,5400,56.35%
297,2024-03-19,112(-0.88 %),6400,0.72,6400,0.72,0,0,0,49%
298,2024-03-18,113(-2.59 %),100,0.01,100,0.01,0,0,6408,49%
299,2024-03-15,116(-0.85 %),-5500,-0.64,0,0,5500,0.64,11900,56.35%
300,2024-03-14,117(0.00 %),-1000,-0.11,5400,0.64,6400,0.75,6400,56.35%
301,2024-03-13,117(4.56 %),3800,0.43,3900,0.44,100,0.01,5400,49%
302,2024-03-12,111.9(1.73 %),0,0,0,0,0,0,3900,49%
303,2024-03-11,110(0.00 %),-5400,-0.6,0,0,5400,0.6,202981,56.33%
304,2024-03-08,110(-1.17 %),-681,-0.07,238019,16.28,238700,16.35,197581,56.33%
305,2024-03-07,111.3(2.02 %),-13210,-1.44,1212150,78.38,1225360,79.82,196900,56.33%
306,2024-03-06,109(-1.54 %),0,0,156700,8.67,156700,8.67,183690,56.33%
307,2024-03-05,110.7(-0.63 %),-3219,-0.36,1290600,124.79,1293819,125.14,0,49%
310,2024-03-04,111.4(0.54 %),-1000,-0.11,74500,2.72,75500,2.84,180471,56.33%
311,2024-03-01,110.8(1.65 %),0,0,942000,104.32,942000,104.32,179471,56.33%
312,2024-02-29,109(0.46 %),2086,0.23,151386,16.31,149300,16.09,0,49%
