Ngày,Thay đổi,KL giao dịch ròng,GT giao dịch ròng,KL mua,GT mua,KL bán,GT bán,Room còn lại,Đang sở hữu
2025-02-25,27.5(-0.72 %),1366000,37.03,4312000,117.97,2946000,80.94,1753070140,21.59%
2025-02-24,27.7(4.73 %),-5459000,-151.87,1422800,39.91,6881800,191.78,1755951136,21.55%
2025-02-21,26.45(-0.38 %),-386900,-10.26,1074800,28.48,1461700,38.73,1754818534,21.56%
2025-02-20,26.55(0.19 %),-1038500,-27.55,1517300,40.24,2555800,67.79,1754905488,21.56%
2025-02-19,26.5(-0.19 %),255500,6.76,1243000,32.95,987500,26.18,1752949515,21.59%
2025-02-18,26.55(1.53 %),3562000,94.37,7035000,186.39,3473000,92.02,1749527562,21.65%
2025-02-17,26.15(0.19 %),2066900,54.04,6787700,177.31,4720800,123.27,1753715806,21.58%
2025-02-14,26.1(0.77 %),2765600,72.13,5549300,144.76,2783700,72.63,1759204776,21.5%
2025-02-13,25.9(0.19 %),806700,20.92,2217300,57.45,1410600,36.53,1761815068,21.46%
2025-02-12,25.85(-0.96 %),-1950400,-50.54,988300,25.66,2938700,76.2,1759779133,21.49%
2025-02-11,26.1(2.76 %),2378000,62.25,6692200,173.79,4314200,111.54,1751607602,21.62%
