Ngày,Thay đổi,KL giao dịch ròng,GT giao dịch ròng,KL mua,GT mua,KL bán,GT bán,Room còn lại,Đang sở hữu
2025-02-05,146.3(0.07 %),-51200,-7.54,2808200,411.56,2859400,419.1,61086795,44.85%
2025-02-04,146.2(0.48 %),-1086500,-158.59,1192100,174.14,2278600,332.74,58370948,45.03%
2025-02-03,0(0.00 %),-3456200,-508.45,2068100,305.04,5524300,813.49,57753449,45.07%
2025-01-24,153.4(-0.58 %),-1153800,-177.49,655700,100.74,1809500,278.24,58778445,45%
2025-01-23,154.3(3.07 %),-167400,-26.01,875700,134.91,1043100,160.93,58211990,45.04%
2025-01-22,149.7(-0.13 %),-287700,-43.14,934700,139.94,1222400,183.08,58372705,45.03%
2025-01-21,149.9(-0.07 %),-124900,-18.46,590200,88.67,715100,107.13,58933296,44.99%
2025-01-20,150(0.67 %),502700,75.31,876900,131.26,374200,55.94,58063826,45.05%
2025-01-17,149(1.71 %),-850700,-125.77,509000,75.27,1359700,201.04,57267504,45.11%
2025-01-16,146.5(0.69 %),-1280800,-187.26,428500,62.69,1709300,249.95,56230809,0%
2025-01-15,145.5(0.28 %),-988700,-143.72,659300,95.72,1648000,239.43,54950009,45.26%
2025-01-14,145.1(-1.69 %),-1295900,-189.08,311200,45.38,1607100,234.46,54432120,45.3%
2025-01-13,147.6(0.20 %),-939500,-137.99,254600,37.43,1194100,175.42,53984687,45.33%
2025-01-10,147.3(-1.01 %),215500,31.73,1008200,149.38,792700,117.65,53828606,45.34%
2025-01-09,148.8(0.34 %),97800,14.54,508500,75.54,410700,60.99,52434585,45.44%
2025-01-08,148.3(-1.20 %),-1550700,-230.5,822800,122.33,2373500,352.82,51935006,45.47%
2025-01-07,150.1(0.54 %),656500,98.83,1664600,250.63,1008100,151.8,50581138,45.56%
2025-01-06,149.3(0.20 %),-156200,-23.32,1241900,185.48,1398100,208.8,50581138,45.56%
2025-01-03,149(-1.97 %),-1538200,-231.25,939000,141.02,2477200,372.27,49985687,45.6%
2025-01-02,152(-0.33 %),-1473200,-222.02,349600,52.89,1822800,274.91,50522567,45.57%
2024-12-31,152.5(1.33 %),-190300,-28.97,211700,32.25,402000,61.22,50406417,45.57%
